lemma,frequency,hdbscan_cluster,hdbscan_label,leiden_cluster,leiden_label,in_agwn,agwn_semfields,agwn_gloss
πᾶς,1080,133,Economics (9); Psychology (8); Human Physiology (8),0,Economics (54); Psychology (51); Life Sciences; Biology (48),True,"Animals (Zoology); Architecture; Arts & Recreation; Astronomy; Athletic & Outdoor Sports & Games; Ball games; Building & Construction; Business enterprises and their structure; Chemistry; Christianity & Christian Theology; Classical mechanics; solid mechanics; Color; Community planning and development; Earth Sciences & Geology; Eating, drinking; using drugs; Economics; Education; Electric, electronic, magnetic, communications, computer engineering; lighting; Electricity & electronics; Fashion design of clothing; Food & Drink; Games Of Chance; Geography & Travel; Geology, Hydrology & Meteorology; Geometry; Grammar; History & Geography; Human Physiology; Human anatomy, cytology & histology; Human figures; Insects; Institutions pertaining to relations of the sexes; Law; Life Sciences; Biology; Linguistics; Literature; Managemennt of personal and family living; grooming; Mathematics; Medicine & Health; Meteorology; Metrology & standardization; Money; Motion pictures, radio, television; Music; News Media, Journalism & Publishing; Number & quantity; Philosophy & Psychology; Photography, computer art, cinematography, videography; Physics; Plants (Botany); Political Science; Production; Psychology; Public Administration; Religion; Sociology & anthropology; Sound & related vibrations; Sports, Games & Entertainment; Stage Presentations; Statistical mathematics; Stocks; Time; Transportation; Ground Transportation","in truth (often tends to intensify); ""they said the car would break down and indeed it did""; ""it is very cold indeed""; """
ἀνήρ,1038,133,Economics (9); Psychology (8); Human Physiology (8),0,Economics (54); Psychology (51); Life Sciences; Biology (48),True,"Animals (Zoology); Arts & Recreation; Astronomy; Ball games; Card games; Chemistry; Christianity & Christian Theology; Earth Sciences & Geology; Eating, drinking; using drugs; Economics; Fashion design of clothing; Games Of Chance; Geography & Travel; History & Geography; Home & Family Management; Human figures; Institutions pertaining to relations of the sexes; Law; Life Sciences; Biology; Mathematics; Money; Music; Number & quantity; Physics; Plants (Botany); Processes, forms & subjects of sculpture; Production; Psychology; Public Administration; Religion; Sociology & anthropology; Stage Presentations; Time","a human being: ""wight"" is an archaic term"
ναῦς,995,19,Economics (7); Psychology (6); Linguistics (6),0,Economics (54); Psychology (51); Life Sciences; Biology (48),True,"Economics; Water, Air & Space Transportation",a vessel that carries passengers or freight
πολύς,869,133,Economics (9); Psychology (8); Human Physiology (8),0,Economics (54); Psychology (51); Life Sciences; Biology (48),True,"Animals (Zoology); Ball games; Chemistry; Color; Eating, drinking; using drugs; Fashion design of clothing; Food & Drink; Geology, Hydrology & Meteorology; Geometry; Grammar; Human Physiology; Human anatomy, cytology & histology; Human figures; Institutions pertaining to relations of the sexes; Law; Life Sciences; Biology; Light & Infrared & Ultraviolet Phenomena; Linguistics; Literature; Medicine & Health; Meteorology; Metrology & standardization; Money; Motion pictures, radio, television; Music; News Media, Journalism & Publishing; Number & quantity; Philosophy & Psychology; Physics; Plants (Botany); Psychology; Religion; Sociology & anthropology; Sound & related vibrations; Stage Presentations; Statistical mathematics; Stocks; Time; Transportation; Ground Transportation","uninterrupted in space; having no gaps or breaks: ""a solid line across the page""; ""solid sheets of water"""
φημί,810,-1,(noise),0,Economics (54); Psychology (51); Life Sciences; Biology (48),True,Science,"make mention of: ""She observed that his presentation took up too much time""; ""They noted that it was a fine day to go sa"
ἔρχομαι,770,-1,(noise),0,Economics (54); Psychology (51); Life Sciences; Biology (48),True,"Agriculture; Agriculture & related technologies; Animals (Zoology); Arts & Recreation; Astronomy; Athletic & Outdoor Sports & Games; Ball games; Banks and banking; Building & Construction; Business enterprises and their structure; Card games; Chemistry; Chess; Classical mechanics; solid mechanics; Community planning and development; Drawing & Decorative Arts; Eating, drinking; using drugs; Economics; Education; Electricity & electronics; Fashion design of clothing; Games Of Chance; Geography & Travel; Geometry; Higher Education; History & Geography; Home & Family Management; Hunting; Institutions pertaining to relations of the sexes; Insurance; Internal Commerce (Domestic Trade); Law; Life Sciences; Biology; Linguistics; Managemennt of personal and family living; grooming; Mathematics; Medicine & Health; Money; Music; News Media, Journalism & Publishing; Outdoor life; Philosophy & Psychology; Photography, computer art, cinematography, videography; Physics; Plants (Botany); Political Science; Production; Psychology; Public Administration; Religion; Science; Secondary education; Social, folk, national dancing; Sociology & anthropology; Stage Presentations; Surgery & Related Medical Specialties; Textiles; Transportation; Ground Transportation; Water, Air & Space Transportation","undergo menstruation: ""She started menstruating at the age of 11"""
θεός,767,134,Psychology (6); Religion (6); Medicine & Health (6),0,Economics (54); Psychology (51); Life Sciences; Biology (48),True,Food & Drink; Human Physiology; Human figures; Medicine & Health; Metrology & standardization; Number & quantity; Philosophy & Psychology; Psychology; Religion; Religious mythology & social theology; Sociology & anthropology,"being below the horizon: ""the moon is set"""
θυμός,755,-1,(noise),0,Economics (54); Psychology (51); Life Sciences; Biology (48),True,"Animals (Zoology); Architecture; Arts & Recreation; Astronomy; Athletic & Outdoor Sports & Games; Ball games; Building & Construction; Card games; Chemistry; Classical mechanics; solid mechanics; Color; Eating, drinking; using drugs; Economics; Education; Electricity & electronics; Fashion design of clothing; Food & Drink; Furniture; Games Of Chance; Geography & Travel; Geology, Hydrology & Meteorology; Geometry; Grammar; Human Physiology; Human anatomy, cytology & histology; Human figures; Ice and snow sports; Institutions pertaining to relations of the sexes; Internal Commerce (Domestic Trade); Law; Life Sciences; Biology; Light & Infrared & Ultraviolet Phenomena; Linguistics; Managemennt of personal and family living; grooming; Mathematics; Medicine & Health; Meteorology; Metrology & standardization; Money; Motion pictures, radio, television; Music; News Media, Journalism & Publishing; Numismatics & Sigillography; Pharmacology & therapeutics; Physics; Plants (Botany); Political Science; Production; Psychology; Public Administration; Religion; Religious mythology & social theology; Secondary education; Sound & related vibrations; Stocks; Swimming and diving; Time; Transportation; Ground Transportation; Vehicular transportation; Water, Air & Space Transportation","your usual mood: ""he has a happy disposition"""
ἔχω,750,114,Economics (4); Human Physiology (4); Time (3),0,Economics (54); Psychology (51); Life Sciences; Biology (48),False,,
νῦν,742,-1,(noise),0,Economics (54); Psychology (51); Life Sciences; Biology (48),True,Building & Construction; Economics; Equestrian Sports & Animal Racing; Human Physiology; Linguistics; Time,"promote the growth of: ""Foster our children's well-being and education"""
